Case,Category,Design_feature,Tier1_strategy,Tier2_strategy,Sustainability_justification,SCAMPER_technique,Creativity_justification,Link
REfill REuse REpeat cream jar,Health and Beauty,Stylish,Longevity and Effective Usage,Design to last,"A stylish design increases user desirability and perceived value, encouraging longer-term use and care of the product.",Modify,"The aesthetic appeal is a modification of the standard functional design, aiming to enhance user engagement and retention.",https://ifdesign.com/en/winner-ranking/project/refill-reuse-repeat-cream-jar/316193
REfill REuse REpeat cream jar,Health and Beauty,Made from recycled polypropylene,Next-Best Material Selection,Recycled material,Utilizing recycled polypropylene directly incorporates post-consumer or post-industrial waste into the product's material composition.,Substitute,"Recycled polypropylene is substituted for virgin plastic, leveraging existing materials to reduce environmental impact.",https://ifdesign.com/en/winner-ranking/project/refill-reuse-repeat-cream-jar/316193
REfill REuse REpeat cream jar,Health and Beauty,Single material construction,Circularity,Enable material homogeneity,"A single material simplifies the recycling process by eliminating the need for complex separation, promoting material homogeneity.",Eliminate,"The elimination of multiple materials simplifies the product's composition, making it easier to manage at its end-of-life.",https://ifdesign.com/en/winner-ranking/project/refill-reuse-repeat-cream-jar/316193
REfill REuse REpeat cream jar,Health and Beauty,70% reduction in materials compared to standard creme jars,Dematerialization,Minimal material and packaging,This significant reduction in material usage directly addresses the strategy of minimizing the quantity of resources consumed.,Eliminate,"The design actively eliminates excess material, a direct application of the 'eliminate' principle to reduce resource input.",https://ifdesign.com/en/winner-ranking/project/refill-reuse-repeat-cream-jar/316193
REfill REuse REpeat cream jar,Health and Beauty,Reduced weight for transport efficiency,Dematerialization,Weight reduction,Lowering the product's weight directly contributes to reduced energy consumption and emissions during transportation.,Modify,The weight is intentionally modified (reduced) to improve the efficiency of the distribution process.,https://ifdesign.com/en/winner-ranking/project/refill-reuse-repeat-cream-jar/316193
REfill REuse REpeat cream jar,Health and Beauty,Stackable refill units,Green Supply Chain,Design for logistics,"The stackable design optimizes storage and transport space, leading to more efficient logistics and reduced environmental impact.",Rearrange,"The physical arrangement of the refill units is rearranged to be stackable, improving logistical efficiency.",https://ifdesign.com/en/winner-ranking/project/refill-reuse-repeat-cream-jar/316193
REfill REuse REpeat cream jar,Health and Beauty,Debossed branding (instead of ink),Dematerialization,Minimal material and packaging,"Eliminating ink reduces the use of additional materials and potential VOCs, aligning with minimal material and packaging.",Substitute,"Debossing is substituted for ink printing, replacing a material-based decoration with a structural one.",https://ifdesign.com/en/winner-ranking/project/refill-reuse-repeat-cream-jar/316193
REfill REuse REpeat cream jar,Health and Beauty,Folded cardboard packaging (instead of glued),Dematerialization,Minimal material and packaging,Using folded cardboard without glue reduces material waste and simplifies the packaging's end-of-life processing.,Substitute,"The method of packaging assembly is substituted from glued to folded, reducing material and process complexity.",https://ifdesign.com/en/winner-ranking/project/refill-reuse-repeat-cream-jar/316193
The Source of Life,Home and Garden,Ultrasonic radar sensor,Product efficiency,Energy consumption efficiency,"The ultrasonic radar sensor allows for precise detection, preventing unnecessary operation and thus reducing energy consumption.",Adapt,"This feature adapts existing sensor technology from other fields, like automotive or security, to a home and garden context for improved functionality.",https://www.red-dot.org/project/the-source-of-life-71937
The Source of Life,Home and Garden,Infrared distance sensor,Product efficiency,Energy consumption efficiency,"The infrared distance sensor enables accurate measurement of proximity, optimizing the activation of water flow and minimizing wasted energy.",Adapt,"This feature adapts infrared sensing capabilities, commonly used in remote controls and motion detectors, to precisely gauge distance for water dispensing.",https://www.red-dot.org/project/the-source-of-life-71937
The Source of Life,Home and Garden,Automatic water control,Product efficiency,Material consumption efficiency,"Automatic water control ensures that only the necessary amount of water is dispensed, thereby reducing water waste and improving material consumption efficiency.",Combine,"This feature combines sensor inputs (ultrasonic, infrared) with a control mechanism to automate and optimize a previously manual process.",https://www.red-dot.org/project/the-source-of-life-71937
The Source of Life,Home and Garden,Detects container distance,Product efficiency,Material consumption efficiency,"By detecting the container's distance, the system can accurately position the water flow, preventing spills and ensuring efficient use of water.",Adapt,This function adapts the sensing capabilities of distance sensors to ensure the product interacts optimally with its environment for efficient operation.,https://www.red-dot.org/project/the-source-of-life-71937
The Source of Life,Home and Garden,Detects water level,Product efficiency,Material consumption efficiency,"Detecting the water level prevents overfilling and ensures that water is used only when needed, contributing to material consumption efficiency.",Combine,This feature combines a water level sensor with the overall system to manage water dispensing intelligently and prevent waste.,https://www.red-dot.org/project/the-source-of-life-71937
The Source of Life,Home and Garden,Triggers water flow,Product efficiency,Energy consumption efficiency,"The intelligent triggering of water flow based on sensor data ensures that water is dispensed only when and where it is needed, optimizing energy use.",Combine,This feature combines sensor detection with an actuator to automate and optimize the water dispensing process.,https://www.red-dot.org/project/the-source-of-life-71937
The Source of Life,Home and Garden,Automatic shut-off when container is full,Product efficiency,Material consumption efficiency,"The automatic shut-off prevents overfilling, conserving water and ensuring efficient use of the resource.",Modify,This feature modifies a basic watering system by adding an intelligent shut-off mechanism to prevent excess water usage.,https://www.red-dot.org/project/the-source-of-life-71937
The Source of Life,Home and Garden,Accommodates various receptacles,Longevity and Effective Usage,Design for multiple uses,The ability to accommodate various receptacles increases the product's versatility and lifespan by allowing it to be used with different containers over time.,Adapt,"This feature adapts the product's design to be flexible and compatible with a wider range of existing containers, enhancing its utility.",https://www.red-dot.org/project/the-source-of-life-71937
The Source of Life,Home and Garden,Innovative,Dematerialization,Design for value,"The innovative nature of the product suggests a focus on creating a more efficient and valuable solution, potentially reducing the need for multiple or less efficient devices.",Combine,"This feature is a result of combining multiple advanced technologies and functionalities into a single, novel product.",https://www.red-dot.org/project/the-source-of-life-71937
The Source of Life,Home and Garden,Practical for modern households,Longevity and Effective Usage,Design to last,Designing for practicality in modern households ensures the product meets current needs and is likely to remain useful and relevant for an extended period.,Adapt,This feature adapts existing technologies and user needs to create a product that is relevant and beneficial for contemporary living.,https://www.red-dot.org/project/the-source-of-life-71937
ZirConic Foldable Large Container,Business and Industrial,Foldable,Dematerialization,Minimal material and packaging,"The foldable nature allows for more containers to be shipped in the same volume, reducing the need for packaging and transportation materials.",Modify,The ability to fold is a modification of a standard container's form to reduce its volume when not in use.,https://www.red-dot.org/project/zirconicr-foldable-large-container-71478
ZirConic Foldable Large Container,Business and Industrial,Modularly designed for repair,Longevity and Effective Usage,Design for repairability and maintenance,"By designing the container with modular components, individual parts can be replaced, extending the overall lifespan of the product and reducing waste.",Combine,"Combining individual, replaceable modules into a single functional unit allows for easier repair and maintenance.",https://www.red-dot.org/project/zirconicr-foldable-large-container-71478
ZirConic Foldable Large Container,Business and Industrial,Sustainable (made of 97% recycled plastic),Next-Best Material Selection,Recycled material,Utilizing a high percentage of recycled plastic directly reduces the demand for virgin resources and diverts plastic waste from landfills.,Substitute,Substituting virgin plastic with recycled plastic is a direct material substitution to improve the product's sustainability profile.,https://www.red-dot.org/project/zirconicr-foldable-large-container-71478
ZirConic Foldable Large Container,Business and Industrial,Ergonomic design,Product efficiency,Change consumer behavior,"An ergonomic design makes the container easier and safer to handle, potentially leading to fewer injuries and more efficient usage by workers.",Adapt,Adapting the container's form to better fit human interaction principles improves its usability and efficiency.,https://www.red-dot.org/project/zirconicr-foldable-large-container-71478
ZirConic Foldable Large Container,Business and Industrial,Compatible with automatic line feeding,Green Supply Chain,Design for logistics,"Ensuring compatibility with automated systems streamlines the supply chain, reducing energy consumption and potential errors during handling.",Adapt,Adapting the container's dimensions and features to integrate seamlessly with existing automated logistics systems enhances operational efficiency.,https://www.red-dot.org/project/zirconicr-foldable-large-container-71478
ZirConic Foldable Large Container,Business and Industrial,Easily collapsed,Dematerialization,Minimal material and packaging,"The ease of collapsing reduces the volume of the container for storage and transport, thereby minimizing packaging and shipping requirements.",Modify,Modifying the container's structure to allow for easy collapsing significantly reduces its occupied space.,https://www.red-dot.org/project/zirconicr-foldable-large-container-71478
ZirConic Foldable Large Container,Business and Industrial,Easily filled,Product efficiency,Material consumption efficiency,"A design that facilitates easy filling reduces the time and effort required, potentially leading to more efficient use of materials and labor.",Adapt,Adapting the opening and internal structure for easier filling improves the user experience and operational efficiency.,https://www.red-dot.org/project/zirconicr-foldable-large-container-71478
ZirConic Foldable Large Container,Business and Industrial,Easily stacked,Dematerialization,Minimal material and packaging,"The ability to stack easily maximizes storage density, reducing the need for additional shelving or space and thus minimizing material usage in warehousing.",Rearrange,Rearranging the container's design to allow for stable and efficient stacking optimizes space utilization.,https://www.red-dot.org/project/zirconicr-foldable-large-container-71478
ZirConic Foldable Large Container,Business and Industrial,Easily stored,Dematerialization,Minimal material and packaging,"Features that make storage easy, such as collapsibility or stackability, reduce the overall footprint required for storage, minimizing the need for physical space and associated resources.",Modify,"Modifying the container's form factor to be easily stored, perhaps through folding or nesting, enhances its logistical efficiency.",https://www.red-dot.org/project/zirconicr-foldable-large-container-71478
ZirConic Foldable Large Container,Business and Industrial,Digital ready,Dematerialization,Digitisation,"Being 'digital ready' implies the potential for digital tracking and management, which can reduce the need for physical documentation and optimize resource allocation.",Combine,Combining physical container functionality with digital readiness allows for integration into digital inventory and management systems.,https://www.red-dot.org/project/zirconicr-foldable-large-container-71478
ZirConic Foldable Large Container,Business and Industrial,Serialized for IoT track and trace functionality,Circularity,Enable material traceability,"Serialization for IoT tracking enables granular visibility into the container's lifecycle, facilitating better inventory management, end-of-life tracking, and potential reuse or recycling.",Combine,Combining the physical container with unique digital identifiers allows for its integration into an IoT ecosystem for tracking and tracing.,https://www.red-dot.org/project/zirconicr-foldable-large-container-71478
Honeywell 7500 Series Reusable Half Mask,Business and Industrial,High-performance elastomeric silicone,Next-Best Material Selection,Recyclable material,Using high-performance elastomeric silicone allows for a durable product that can be more easily recycled at its end of life compared to less robust materials.,Substitute,The material was likely substituted for less durable or less recyclable options to improve the product's longevity and end-of-life potential.,https://www.red-dot.org/project/honeywell-7500-series-reusable-half-mask-69686
Honeywell 7500 Series Reusable Half Mask,Business and Industrial,Ergonomic contour,Longevity and Effective Usage,Design to last,"An ergonomic design enhances comfort and fit, encouraging longer and more consistent use of the mask, thereby extending its effective lifespan.",Adapt,The design likely adapted principles from other ergonomic products or studies to improve user comfort and product usability.,https://www.red-dot.org/project/honeywell-7500-series-reusable-half-mask-69686
Honeywell 7500 Series Reusable Half Mask,Business and Industrial,Reduces pressure on the face,Longevity and Effective Usage,Design to last,"Reducing pressure points enhances wearer comfort, leading to more frequent and prolonged use, thus maximizing the product's functional life.",Modify,"The design was modified to reduce pressure, likely by adjusting material thickness, shape, or contact points to improve user experience.",https://www.red-dot.org/project/honeywell-7500-series-reusable-half-mask-69686
Honeywell 7500 Series Reusable Half Mask,Business and Industrial,Ensures optimal sealing,Product efficiency,Material consumption efficiency,"An optimal seal ensures the mask performs its intended function effectively with the least amount of material needed for containment, reducing waste.",Adapt,The sealing mechanism was likely adapted from existing sealing technologies or research to ensure maximum effectiveness and minimal material usage.,https://www.red-dot.org/project/honeywell-7500-series-reusable-half-mask-69686
Honeywell 7500 Series Reusable Half Mask,Business and Industrial,Patented filtration design,Product efficiency,Energy consumption efficiency,"An efficient filtration design can reduce the effort required to breathe, thereby lowering the energy consumption of the user.",Combine,This feature likely combines existing filtration principles with novel approaches to create a more efficient and patented system.,https://www.red-dot.org/project/honeywell-7500-series-reusable-half-mask-69686
Honeywell 7500 Series Reusable Half Mask,Business and Industrial,Decreases inhalation resistance,Product efficiency,Energy consumption efficiency,"Lowering inhalation resistance makes breathing easier, reducing the user's physical exertion and energy expenditure during use.",Modify,The internal structure or material of the mask was modified to reduce the resistance encountered during inhalation.,https://www.red-dot.org/project/honeywell-7500-series-reusable-half-mask-69686
Honeywell 7500 Series Reusable Half Mask,Business and Industrial,Enhances wearing comfort,Longevity and Effective Usage,Design to last,"Increased comfort encourages longer and more consistent use of the mask, extending its overall effective lifespan.",Adapt,The design likely adapted principles from other comfort-focused products or user feedback to improve the overall wearing experience.,https://www.red-dot.org/project/honeywell-7500-series-reusable-half-mask-69686
Honeywell 7500 Series Reusable Half Mask,Business and Industrial,Can be easily pulled down for short breaks,Longevity and Effective Usage,Design for multiple uses,"This feature allows for convenient removal and reapplication, promoting continuous use throughout the day and reducing the need for frequent replacements.",Rearrange,"The design was rearranged to allow for quick and easy adjustments, facilitating more frequent and less disruptive use.",https://www.red-dot.org/project/honeywell-7500-series-reusable-half-mask-69686
Honeywell 7500 Series Reusable Half Mask,Business and Industrial,Disassembled and recycled at end of lifespan,Circularity,Design for disassembly,"The ability to disassemble the mask facilitates the separation of materials for effective recycling, contributing to a circular economy.",Eliminate,"The design was simplified by eliminating permanent bonding methods, allowing for easier disassembly and material separation.",https://www.red-dot.org/project/honeywell-7500-series-reusable-half-mask-69686
iON GT,Vehicles and Parts,Specially designed for electric vehicles,Product efficiency,Energy consumption efficiency,Tailoring the product for electric vehicles optimizes its performance and energy usage within that specific ecosystem.,Adapt,"This feature adapts the product's design to a specific vehicle type, leveraging existing knowledge of electric vehicle requirements.",https://www.red-dot.org/project/ion-gt-70336
iON GT,Vehicles and Parts,Focus on ecological aspects,Next-Best Material Selection,Renewable and biodegradable material,Prioritizing ecological aspects directly aligns with the selection of environmentally friendly materials.,Adapt,"This feature adapts the product's core purpose to align with broader ecological principles, influencing all subsequent design choices.",https://www.red-dot.org/project/ion-gt-70336
iON GT,Vehicles and Parts,Made from 77% recyclable materials,Next-Best Material Selection,Recyclable material,The explicit mention of recyclable materials directly addresses the strategy of using materials that can be reprocessed.,Substitute,This feature substitutes conventional materials with a high percentage of recyclable alternatives to improve the product's end-of-life potential.,https://www.red-dot.org/project/ion-gt-70336
iON GT,Vehicles and Parts,Groove design inspired by corn husks,Dematerialization,Generative design,"Drawing inspiration from natural forms like corn husks can lead to efficient material usage and structural integrity, potentially reducing material needs.",Adapt,"This feature adapts a natural form to inspire a functional design element, showcasing creative problem-solving.",https://www.red-dot.org/project/ion-gt-70336
iON GT,Vehicles and Parts,Minimises driving noise,Product efficiency,Energy consumption efficiency,"Reducing noise contributes to a more pleasant and efficient driving experience, indirectly impacting energy consumption through user satisfaction and reduced vibrations.",Modify,This feature modifies the product's acoustic properties to enhance user experience and potentially reduce energy loss through vibration.,https://www.red-dot.org/project/ion-gt-70336
iON GT,Vehicles and Parts,Utilises 3D notching technology,Dematerialization,Weight reduction,"3D notching technology can optimize material distribution for strength, potentially allowing for less material overall and thus reduced weight.",Substitute,This feature substitutes traditional manufacturing methods with 3D notching technology to achieve a more optimized and potentially lighter design.,https://www.red-dot.org/project/ion-gt-70336
iON GT,Vehicles and Parts,Offers robust rigidity,Longevity and Effective Usage,Design to last,"Robust rigidity ensures the product's durability and ability to withstand stress, contributing to a longer lifespan.",Modify,This feature modifies the product's structural characteristics to enhance its durability and performance over time.,https://www.red-dot.org/project/ion-gt-70336
iON GT,Vehicles and Parts,Ensures a stable drive,Product efficiency,Energy consumption efficiency,A stable drive contributes to efficient energy consumption by minimizing unnecessary movements and optimizing traction.,Adapt,"This feature adapts the product's performance characteristics to ensure a stable driving experience, which is a key aspect of efficient vehicle operation.",https://www.red-dot.org/project/ion-gt-70336
TCL RC9/RC8 Series Solar Remote,Electronics,Solar-powered,Product efficiency,Energy consumption efficiency,"By harnessing solar energy, the remote significantly reduces its reliance on conventional power sources, thereby improving its overall energy consumption efficiency.",Substitute,"The solar panel substitutes the need for traditional batteries, fundamentally changing how the device is powered.",https://www.red-dot.org/project/tcl-rc9-rc8-series-solar-remote-70404
TCL RC9/RC8 Series Solar Remote,Electronics,Built-in supercapacitor (no battery replacement or charging needed),Longevity and Effective Usage,Design to last,Eliminating the need for battery replacements or charging directly contributes to the product's longevity and reduces waste associated with disposable batteries.,Eliminate,"The supercapacitor eliminates the need for traditional batteries and their associated replacement or charging processes, simplifying usage and extending the product's lifespan.",https://www.red-dot.org/project/tcl-rc9-rc8-series-solar-remote-70404
TCL RC9/RC8 Series Solar Remote,Electronics,Long battery runtime with minimal light exposure,Product efficiency,Energy consumption efficiency,"This feature optimizes energy usage, ensuring the remote functions effectively even with limited light, thus enhancing its energy efficiency.",Modify,"The efficiency of the power system is magnified to ensure extended operation with minimal energy input, a modification of typical power management.",https://www.red-dot.org/project/tcl-rc9-rc8-series-solar-remote-70404
TCL RC9/RC8 Series Solar Remote,Electronics,Seamlessly integrated solar panel on the front for optimal sunlight absorption,Product efficiency,Energy consumption efficiency,"The strategic placement and integration of the solar panel maximize its ability to capture light, thereby improving the remote's energy consumption efficiency.",Adapt,"The design adapts the solar panel's placement and integration to optimize its function within the product's form factor, drawing inspiration from efficient solar capture methods.",https://www.red-dot.org/project/tcl-rc9-rc8-series-solar-remote-70404
TCL RC9/RC8 Series Solar Remote,Electronics,Casing made from recycled materials,Next-Best Material Selection,Recycled material,"Utilizing recycled materials for the casing directly supports the strategy of using recycled inputs, reducing the demand for virgin resources.",Substitute,"Recycled materials are substituted for virgin plastics in the casing, reducing environmental impact.",https://www.red-dot.org/project/tcl-rc9-rc8-series-solar-remote-70404
TCL RC9/RC8 Series Solar Remote,Electronics,One-touch-ECO function button,Product efficiency,Change consumer behavior,"This feature encourages energy-saving behavior by providing a simple, accessible way for users to activate eco-friendly modes.",Modify,"An additional function button is added to the remote, specifically designed to modify user behavior towards energy conservation.",https://www.red-dot.org/project/tcl-rc9-rc8-series-solar-remote-70404
EcoGrab Series,Electronics,Powerful solar modules,Product efficiency,Energy consumption efficiency,"Powerful solar modules directly contribute to more efficient energy generation, reducing reliance on grid power and thus lowering overall energy consumption.",Adapt,"The design adapted existing solar technology to a portable electronics context, improving its energy harvesting capabilities.",https://www.red-dot.org/project/ecograb-series-70420
EcoGrab Series,Electronics,Wireless charging via RF technology,Dematerialization,Content reduction,"Wireless charging eliminates the need for physical charging cables, reducing material consumption and waste associated with them.",Substitute,"This feature substitutes traditional wired charging with a wireless alternative, simplifying the user experience and reducing component needs.",https://www.red-dot.org/project/ecograb-series-70420
EcoGrab Series,Electronics,USB-C cable charging,Longevity and Effective Usage,Design for upgradability and adaptability,"USB-C is a widely adopted standard, allowing users to utilize existing cables and making the product more adaptable to future charging infrastructure.",Adapt,"The design adapted to the prevalent USB-C standard, enhancing the product's compatibility and longevity.",https://www.red-dot.org/project/ecograb-series-70420
EcoGrab Series,Electronics,Made with recycled plastic resin (R-ABS and ABS/PET),Next-Best Material Selection,Recycled material,Utilizing recycled plastic resin directly supports the circular economy by giving new life to post-consumer or post-industrial waste.,Substitute,"The design substituted virgin plastics with recycled alternatives, significantly reducing the environmental impact of material sourcing.",https://www.red-dot.org/project/ecograb-series-70420
EcoGrab Series,Electronics,Clearly arranged button layout,Longevity and Effective Usage,Design to last,"An intuitive button layout enhances user experience and reduces the likelihood of accidental misoperation, contributing to the product's longevity.",Rearrange,"The button layout was rearranged for optimal user interaction, making the product easier and more intuitive to use over time.",https://www.red-dot.org/project/ecograb-series-70420
EcoGrab Series,Electronics,Slim silhouette,Dematerialization,Weight reduction,"A slim silhouette often implies a reduction in the amount of material used and a lighter overall product, decreasing its environmental footprint.",Modify,"The product's form was modified to achieve a slim silhouette, reducing material usage and improving portability.",https://www.red-dot.org/project/ecograb-series-70420
EcoGrab Series,Electronics,Rounded edges on the narrow sides,Longevity and Effective Usage,Design to last,"Rounded edges improve durability by reducing stress points and making the product less prone to damage from drops or impacts, thus extending its lifespan.",Modify,"The edges were modified to be rounded, enhancing user comfort and the product's resilience against wear and tear.",https://www.red-dot.org/project/ecograb-series-70420
Ray-Ban | Meta Sustainable Packaging,Apparel and Accessories,Inspired by iconic packaging design,Dematerialization,Design for value,"Leveraging an existing iconic design can create perceived value and brand recognition without requiring new, complex material development.",Adapt,This feature adapts a successful and recognizable design from another context to create a new product experience.,https://www.red-dot.org/project/ray-ban-meta-sustainable-packaging-71500
Ray-Ban | Meta Sustainable Packaging,Apparel and Accessories,Slightly smaller size to reduce materials,Dematerialization,Minimal material and packaging,"Reducing the physical dimensions directly leads to using less material, thereby minimizing the overall environmental footprint.",Modify,This feature is a direct application of modifying the product's size to reduce its material consumption.,https://www.red-dot.org/project/ray-ban-meta-sustainable-packaging-71500
Ray-Ban | Meta Sustainable Packaging,Apparel and Accessories,More compact design of the outer packaging,Dematerialization,Minimal material and packaging,"A more compact design inherently uses less material and reduces the volume of packaging, leading to resource efficiency.",Modify,"The design has been modified to be more compact, which is a direct way to reduce material usage.",https://www.red-dot.org/project/ray-ban-meta-sustainable-packaging-71500
Ray-Ban | Meta Sustainable Packaging,Apparel and Accessories,Use of FSC-certified paper,Next-Best Material Selection,Renewable and biodegradable material,"FSC certification ensures the paper comes from responsibly managed forests, promoting the use of renewable and sustainable resources.",Substitute,"This feature substitutes conventional paper with a certified, more sustainable alternative.",https://www.red-dot.org/project/ray-ban-meta-sustainable-packaging-71500
Ray-Ban | Meta Sustainable Packaging,Apparel and Accessories,Precise design for exclusive unboxing experience,Dematerialization,Design for value,"A well-designed unboxing experience can enhance the perceived value of the product, potentially leading to longer customer satisfaction and reduced impulse purchases.",Modify,"The design has been modified to create a specific, enhanced user experience during the unboxing process.",https://www.red-dot.org/project/ray-ban-meta-sustainable-packaging-71500
Ray-Ban | Meta Sustainable Packaging,Apparel and Accessories,Includes printed QR code to download Meta View App,Dematerialization,Digitisation,"By providing digital access to information and functionality through a QR code, the need for physical inserts or extensive printed materials is eliminated.",Substitute,This feature substitutes physical information delivery with a digital solution via a QR code.,https://www.red-dot.org/project/ray-ban-meta-sustainable-packaging-71500
Alette,Office Supplies,Folding desk,Dematerialization,Minimal material and packaging,"The folding desk design allows for a more compact form, potentially reducing the amount of material needed for the desk itself and its packaging for transport.",Modify,"The ability to fold the desk is a modification of a traditional desk's static form, allowing for a more efficient use of space and resources.",https://www.red-dot.org/project/alette-69094
Alette,Office Supplies,Minimalist appearance,Dematerialization,Content reduction,"A minimalist appearance often implies a reduction in unnecessary components or decorative elements, leading to less material usage and a simpler product.",Eliminate,"The minimalist appearance is achieved by eliminating superfluous design elements, focusing on essential functionality and form.",https://www.red-dot.org/project/alette-69094
Alette,Office Supplies,Sustainable production,Next-Best Material Selection,Renewable and biodegradable material,"Sustainable production inherently focuses on using environmentally friendly materials, such as renewable or biodegradable options, throughout the manufacturing process.",Substitute,"Sustainable production involves substituting traditional, less eco-friendly materials and processes with more environmentally responsible alternatives.",https://www.red-dot.org/project/alette-69094
Alette,Office Supplies,Lockable castors,Longevity and Effective Usage,Design for multiple uses,"Lockable castors enhance the desk's stability and mobility, allowing it to be easily moved and secured in various locations, thus supporting multiple uses and potentially extending its effective lifespan.",Adapt,"The addition of lockable castors adapts a standard desk feature to provide enhanced functionality and versatility, enabling easier repositioning and stability.",https://www.red-dot.org/project/alette-69094
Alette,Office Supplies,Worktop can be folded up,Dematerialization,Minimal material and packaging,"The ability to fold up the worktop allows for a more compact storage and transport solution, potentially reducing the overall material footprint and packaging required.",Modify,"The worktop's ability to fold up is a modification that allows the desk to transform its form for more efficient storage and transport, impacting material and packaging needs.",https://www.red-dot.org/project/alette-69094
RE:SHELL CABIN,Luggage and Bags,High-quality workmanship,Longevity and Effective Usage,Design to last,"High-quality workmanship directly contributes to a product's durability and lifespan, reducing the need for frequent replacements.",Modify,"The emphasis on 'high-quality' implies a deliberate effort to enhance the product's robustness and perceived value, which aligns with magnifying or strengthening aspects of the design.",https://www.red-dot.org/project/reshellr-cabin-68716
RE:SHELL CABIN,Luggage and Bags,Sustainable material cycle,Circularity,Enable material traceability,"A sustainable material cycle inherently involves managing materials throughout their lifecycle, from sourcing to end-of-life, which necessitates traceability.",Adapt,"This feature suggests adapting existing material flows and processes to create a closed-loop system, borrowing from concepts of circular economy principles.",https://www.red-dot.org/project/reshellr-cabin-68716
RE:SHELL CABIN,Luggage and Bags,Hard shell made from 100% recycled PET,Next-Best Material Selection,Recycled material,Utilizing 100% recycled PET for the hard shell directly incorporates recycled content into the product's primary material.,Substitute,The choice to use recycled PET instead of virgin plastic is a direct substitution of materials to achieve a more sustainable outcome.,https://www.red-dot.org/project/reshellr-cabin-68716
RE:SHELL CABIN,Luggage and Bags,Includes 50% Ocean Impact plastic,Next-Best Material Selection,Recycled material,"Incorporating Ocean Impact plastic means using materials that have been recovered from the ocean, thus contributing to recycled material content.",Substitute,"This feature involves substituting traditional plastics with materials that address a specific environmental problem, namely ocean pollution.",https://www.red-dot.org/project/reshellr-cabin-68716
RE:SHELL CABIN,Luggage and Bags,Repair service available,Longevity and Effective Usage,Design for repairability and maintenance,The availability of a repair service directly supports the longevity of the product by enabling users to fix it rather than replace it.,Adapt,"Offering a repair service is an adaptation of the product's lifecycle support, extending its usability by providing maintenance options.",https://www.red-dot.org/project/reshellr-cabin-68716
RE:SHELL CABIN,Luggage and Bags,Recycling option for used suitcases,Circularity,Design for end-of-life collection,"Providing a recycling option ensures that the suitcase can be collected and processed at the end of its life, facilitating a circular material flow.",Adapt,This feature adapts the product's end-of-life scenario by creating a system for its collection and subsequent recycling.,https://www.red-dot.org/project/reshellr-cabin-68716
RE:SHELL CABIN,Luggage and Bags,Secure TSA combination lock,Longevity and Effective Usage,Design to last,"A secure lock protects the contents of the suitcase, contributing to the overall usability and perceived value, which can encourage longer use.",Add,The inclusion of a TSA lock is an addition of a functional feature that enhances the product's security and utility.,https://www.red-dot.org/project/reshellr-cabin-68716
RE:SHELL CABIN,Luggage and Bags,"Padded 17"" laptop compartment",Longevity and Effective Usage,Design for multiple uses,"A dedicated padded compartment protects electronic devices, enhancing the suitcase's functionality for carrying valuable items and thus promoting its use.",Add,"This is an addition of a specific compartment designed to cater to a particular user need, thereby increasing the product's versatility.",https://www.red-dot.org/project/reshellr-cabin-68716
RE:SHELL CABIN,Luggage and Bags,Various zipped compartments,Longevity and Effective Usage,Design for multiple uses,"Multiple compartments improve organization and accessibility, making the suitcase more functional and appealing for various travel needs.",Add,The inclusion of 'various zipped compartments' is an addition of features that enhance the product's organization and utility.,https://www.red-dot.org/project/reshellr-cabin-68716
RE:SHELL CABIN,Luggage and Bags,Organizer,Longevity and Effective Usage,Design for multiple uses,An organizer enhances the functionality and usability of the suitcase by providing structured storage for various items.,Add,The addition of an 'organizer' is a feature that enhances the product's functionality and user experience by providing structured storage.,https://www.red-dot.org/project/reshellr-cabin-68716
Alu+,Home and Garden,Made of high-quality aluminium,Next-Best Material Selection,Lightweight material,"Using aluminium, a relatively lightweight metal, contributes to reducing the overall weight of the product, which can lead to lower transportation emissions.",Substitute,"The choice of aluminium as a material is a substitution for potentially heavier or less durable materials, aiming for an improved product.",https://www.red-dot.org/project/alu-67964
Alu+,Home and Garden,84% recycled material,Next-Best Material Selection,Recycled material,Incorporating a high percentage of recycled material significantly reduces the demand for virgin resources and diverts waste from landfills.,Substitute,"This feature represents a substitution of virgin materials with recycled ones, directly addressing sustainability goals.",https://www.red-dot.org/project/alu-67964
Alu+,Home and Garden,Chrome and nickel-free,Green Supply Chain,Detoxified processes,"Eliminating chrome and nickel reduces the use of potentially harmful substances in the manufacturing process and the final product, contributing to a healthier environment.",Eliminate,The decision to remove chrome and nickel from the product is an act of elimination to avoid harmful substances.,https://www.red-dot.org/project/alu-67964
Alu+,Home and Garden,Choice of normal rain jet or SilkRain mode,Product efficiency,Change consumer behavior,"Offering different spray modes allows users to select a water-saving option (SilkRain), encouraging more efficient water usage.",Adapt,"This feature adapts the product's functionality by offering different modes, allowing users to adapt their usage habits.",https://www.red-dot.org/project/alu-67964
Alu+,Home and Garden,Integrated flow limiters (8-12 litres per minute),Product efficiency,Energy consumption efficiency,"Flow limiters reduce the amount of water used per minute, which in turn reduces the energy required to heat that water.",Modify,The integration of flow limiters modifies the product's water output to achieve greater efficiency.,https://www.red-dot.org/project/alu-67964
